Character,Word Count
ALEX,307
ARZT,345
BEN,1293
CREWMAN AT PERISCOPE,16
HURLEY,230
ILANA,258
JACK,331
JOHN,33
LAPIDUS,59
LOCKE,129
MILES,188
REYNOLDS,246
RICHARD,370
ROGER,95
SUN,72
WIDMORE,6
