Character,Word Count
ANA,8
CHARLIE,11
DANIELLE,162
GALE,450
HURLEY,191
INMAN,249
JACK,319
LOCKE,245
SAWYER,245
SAYID,1189
SGT. AUSTEN,219
SGT. BUCCELLI,79
TARIQ,174
U.S. SOLDIER #1,17
U.S. SOLDIER #2,6
VOICE,50
