Character,Word Count
ANA LUCIA,143
COOPER,116
DESMOND,539
FRANCINE,60
HELEN,341
HURLEY,114
JACK,563
KATE,71
LEADER,6
LOCKE,692
MARVIN CANDLE,341
MICHAEL,97
MODERATOR,23
SAWYER,220
SAYID,108
