Character,Word Count
CHARLIE,713
CLAIRE,185
EKO,996
GOLDIE,5
HURLEY,7
JACK,74
JIN,2
KATE,37
LOCKE,149
MICHAEL,154
MONITOR,20
NIGERIAN WOMAN,21
OLU,3
PRIEST,7
SAWYER,49
SOLDIER,8
THUG,16
THUG #2,19
THUG CAPTAIN,41
TOUGH MOROCCAN,34
YEMI,299
YOUNG EKO,2
