Character,Word Count
ANA,75
ANA LUCIA,1038
BERNARD,254
BOONE,30
CINDY,111
COLE,4
DONALD,13
EKO,109
EMMA,16
GOODWIN,456
JIN,10
LIBBY,286
MICHAEL,4
NATHAN,317
OGIE,12
PAM'S HUSBAND,14
SAWYER,2
UNKNOWN #2 WOMAN'S VOICE,4
UNKNOWN MAN,3
UNKNOWN MAN'S VOICE,7
UNKNOWN WOMAN'S VOICE,45
WOMAN'S VOICE,6
ZACH,9
