Character,Word Count
AGENT,27
BOONE,176
CHARLIE,274
CHRISTIAN SHEPHARD,159
CLAIRE,178
HOTEL MANAGER,100
HURLEY,90
JACK,731
JIN,15
JIN ,15
Jin,12
KATE,272
LOCKE,293
MARGO,100
MEATHEAD,22
MEDICAL EXAMINER,38
MICHAEL,29
SAWYER,165
SAYID,86
SHANNON,60
SUN,47
WALT,14
YOUNG JACK,9
