Character,Word Count
BOONE,72
CHARLIE,98
DANIELLE,552
ETHAN,23
HURLEY,318
JACK,260
KATE,116
LOCKE,46
MICHAEL,251
NADIA,270
OMAR,170
PRISONER,2
SAWYER,133
SAYID,988
SHANNON,38
SULLIVAN,86
SULLIVAN (a redshirt),23
Subtitles,34
WALT,91
