Character,Word Count
ARZT,130
CHARLIE,165
CLAIRE,24
DIANE,24
HOSPITAL ANNOUNCEMENT,17
HURLEY,102
JACK,390
JIN,4
KATE,545
LOCKE,233
MICHAEL,459
NURSE,23
SANJAY,11
SAWYER,505
SAYID,82
SECURITY GUARD,14
SUN,114
TOM,260
WALT,159
YOUNG KATE,67
YOUNG TOM,94
