Character,Word Count
BOONE,74
CHARLIE,369
CINDY,51
CLAIRE,60
GARY,2
HURLEY,91
JACK,884
JIN,27
KATE,324
LOCKE,9
MICHAEL,40
PILOT,103
REDSHIRT,8
REDSHIRT #2,14
ROSE,71
SAWYER,7
SAYID,48
SHANNON,65
WALT,6
