Character,Word Count
BEN,659
CHARLIE,153
CLAIRE,70
DESMOND,13
ETHAN,114
GOODWIN,45
GUARD,8
HURLEY,98
JACK,459
JULIET,1268
KATE,59
MIKHAIL,35
RACHEL,90
RICHARD,330
SAWYER,178
SAYID,141
SUN,19
UNNAMED OTHER,3
