Character,Word Count
BEN,178
BERNARD,61
CHARLIE,136
CLAIRE,51
DESMOND,69
DETECTIVE,211
HURLEY,747
JACK,470
JEFF,72
JULIET,24
KATE,223
LOCKE,285
MATTHEW,99
MINKOWSKI,127
NAOMI,108
NEWSREADER,48
NURSE,17
NURSES,5
PARACHUTIST,4
PATIENT,20
POLICEMAN,26
POLICEMAN 2,4
POLICEWOMAN,12
ROSE,62
ROUSSEAU,61
SAWYER,139
SAYID,76
SUN,19
VISITOR,22
