Character,Word Count
BOONE,66
CHARLIE,323
CINDY,45
CLAIRE,49
GARY,1
HURLEY,81
JACK,792
JIN,26
KATE,276
LOCKE,8
MICHAEL,34
PILOT,93
REDSHIRT,7
REDSHIRT #2,13
ROSE,65
SAWYER,6
SAYID,41
SHANNON,58
WALT,4
