Character,Word Count
AUNTIE,10
BEN,364
BERNARD,90
BIRD,23
BLONDE SISTER,28
BRAM,111
BRUNETTE SISTER,8
CAPTAIN BIRD,78
CHANG,77
CHRISTIAN,114
DOUG,91
DR. CHANG,60
ELOISE,76
FRANK,48
HURLEY,265
ILANA,123
JACK,660
JACOB,445
JAIL CLERK,48
JAMES,8
JIN,61
JULIET,395
KATE,295
LAPIDUS,88
LOCKE,541
MAN,25
MAN IN BLACK,101
MILES,118
MITCH,5
MOTHER,73
NADIA,33
NURSE,43
PHIL,130
RACHEL,4
RADZINSKY,217
RICHARD,374
ROGER,14
ROSE,94
SAWYER,1001
SAYID,224
SHOPKEEPER,79
SUN,100
TOM,9
UNCLE DOUG,15
VOICE OVER SPEAKER,44
WOMAN,29
WORKER,16
